SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
STAR,645,631,640.8,646.8666667,652.9333333,638.9333333,632.8666667,624.9333333,0.292153589,SKIP,426497,271790416.8,641.8,637.9333333
MPSLTD,698.8,583.9,670.1,717.9666667,765.8333333,650.9333333,603.0666667,536.0333333,2.944489963,SKIP,425188,284846925.9,671.1,649.9333333
APLLTD,521.9,514,520,523.2666667,526.5333333,518.6333333,515.3666667,510.7333333,0.263513079,SKIP,419112,217922416.8,521,517.6333333
TATACOMM,632,616.3,620.1,629.3,638.5,622.8,613.6,607.1,-0.433526012,SKIP,408443,254364570.3,621.1,621.8
IBVENTURES,279.75,254.35,276.35,285.95,295.55,270.15,260.55,244.75,2.295021284,SKIP,400105,109725757.4,277.35,269.15
DEN,107,93.5,102.2,108.3,114.4,100.9,94.8,87.4,1.288404361,BUY,396607,39227854.05,103.2,99.9
FRETAIL,608.9,595,596.15,605.0333333,613.9166667,600.0166667,591.1333333,586.1166667,-0.644426544,SELL,395316,236364893.9,597.15,599.0166667
BEPL,203.95,197.5,199.05,202.8333333,206.6166667,200.1666667,196.3833333,193.7166667,-0.557868443,SKIP,394695,78767604.65,200.05,199.1666667
EIHOTEL,185,173.25,174.55,181.95,189.35,177.6,170.2,165.85,-1.717342342,SKIP,390029,69211044.65,175.55,176.6
MINDACORP,196.4,189.05,192.1,195.9833333,199.8666667,192.5166667,188.6333333,185.1666667,-0.216431478,SKIP,388582,74953356.7,193.1,191.5166667
UNIPLY,482.6,464.7,474.25,483,491.75,473.85,465.1,455.95,0.084414899,SKIP,383717,182610080.3,475.25,472.85
TATACOFFEE,134.6,131,132.7,134.5333333,136.3666667,132.7666667,130.9333333,129.1666667,-0.050213407,SKIP,373530,49718914,133.7,131.7666667
VAKRANGEE,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,0,SKIP,368285,40769149.5,111.7,109.7
NRBBEARING,182,174.25,175.3,180.1166667,184.9333333,177.1833333,172.3666667,169.4333333,-1.062929169,SELL,363582,65120824.65,176.3,176.1833333
FILATEX,212.4,198.1,210.55,215.9333333,221.3166667,207.0166667,201.6333333,192.7166667,1.706786893,SKIP,352024,72871280.85,211.55,206.0166667
TEJASNET,348.5,320.5,336.1,349.5666667,363.0333333,335.0333333,321.5666667,307.0333333,0.318376281,SKIP,350156,117959772.6,337.1,334.0333333
DBCORP,309.4,297.55,299.55,306.7833333,314.0166667,302.1666667,294.9333333,290.3166667,-0.865968009,SELL,349619,107085988.4,300.55,301.1666667
DCAL,361.4,335.5,356.7,366.9,377.1,351.2,341,325.3,1.566059226,SKIP,349451,122017461.2,357.7,350.2
GREAVESCOT,124.4,122.35,123.3,124.35,125.4,123.35,122.3,121.3,-0.040535063,SKIP,347863,42889521.15,124.3,122.35
JKPAPER,142.95,138.75,139.1,141.7833333,144.4666667,140.2666667,137.5833333,136.0666667,-0.831749049,SELL,342156,48001497.3,140.1,139.2666667
SKMEGGPROD,125,116.4,118.7,123.6666667,128.6333333,120.0333333,115.0666667,111.4333333,-1.110802555,SELL,339717,40921560.2,119.7,119.0333333
VETO,245,231.2,233.45,241.9,250.35,236.55,228.1,222.75,-1.310505179,SELL,338902,80044832,234.45,235.55
KAJARIACER,557,539.05,541.2,552.45,563.7,545.75,534.5,527.8,-0.833715071,SELL,337055,183361494.9,542.2,544.75
MCLEODRUSS,157.6,149.45,155,158.5833333,162.1666667,154.0166667,150.4333333,145.8666667,0.638459041,BUY,333127,51399332.4,156,153.0166667
