,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
942,LITL,EQ,0.75,0.75,0.7,0.7,0.75,0.75,5398049,3895086.95,08-MAY-2018,715,INE785C01048
943,LML,EQ,4.6,4.75,4.5,4.5,4.5,4.7,266998,1208856.8,08-MAY-2018,272,INE862A01015
944,LOKESHMACH,EQ,67.6,69.2,67.25,68.7,69.2,68.5,28636,1956396.55,08-MAY-2018,292,INE397H01017
945,LOTUSEYE,EQ,29.0,29.3,28.3,28.8,28.8,29.0,7221,207588.5,08-MAY-2018,27,INE947I01017
946,LOVABLE,EQ,166.65,167.3,163.0,164.05,164.0,165.8,24685,4079453.45,08-MAY-2018,600,INE597L01014
947,LPDC,EQ,3.55,3.65,3.45,3.45,3.65,3.55,16529,58332.85,08-MAY-2018,24,INE197J01017
948,LSIL,BE,1.3,1.3,1.2,1.25,1.3,1.25,831449,1046216.55,08-MAY-2018,263,INE093R01011
949,LT,EQ,1391.3,1393.0,1356.15,1364.9,1364.9,1389.15,1604486,2195717228.75,08-MAY-2018,49883,INE018A01030
950,LTI,EQ,1501.6,1520.2,1489.25,1507.45,1514.5,1507.55,106578,160225255.45,08-MAY-2018,8291,INE214T01019
951,LTTS,EQ,1308.9,1344.0,1290.0,1324.6,1323.0,1294.8,159521,209987887.3,08-MAY-2018,9964,INE010V01017
952,LUMAXIND,EQ,2540.0,2579.95,2450.0,2473.55,2500.0,2519.25,11254,28278347.8,08-MAY-2018,1868,INE162B01018
953,LUMAXTECH,EQ,895.1,906.05,880.15,881.7,881.2,893.6,8004,7159205.35,08-MAY-2018,414,INE872H01019
954,LUPIN,EQ,782.8,786.8,772.5,774.85,774.0,773.9,1360778,1058840291.3,08-MAY-2018,32257,INE326A01037
955,LUXIND,EQ,2067.95,2090.0,2046.0,2060.65,2090.0,2054.65,151674,313042893.45,08-MAY-2018,2865,INE150G01020
956,LYCOS,EQ,4.5,4.5,4.25,4.35,4.3,4.45,352463,1538378.8,08-MAY-2018,241,INE425B01027
957,LYKALABS,EQ,43.5,43.65,42.55,42.75,42.6,42.75,15289,659969.3,08-MAY-2018,159,INE933A01014
958,LYPSAGEMS,EQ,22.65,23.2,21.15,22.2,22.25,22.55,140652,3114102.6,08-MAY-2018,585,INE142K01011
959,M&M,EQ,886.0,886.5,859.5,865.3,865.25,885.6,1834833,1590160180.95,08-MAY-2018,39961,INE101A01026
960,M&MFIN,EQ,512.5,514.3,502.65,504.45,503.0,511.5,1090557,553125232.95,08-MAY-2018,30531,INE774D01024
961,M100,EQ,21.38,21.38,20.95,21.01,21.0,20.91,4794,100836.98,08-MAY-2018,43,INF247L01023
962,M50,EQ,102.35,103.0,101.5,102.4,102.4,101.5,1777,181181.65,08-MAY-2018,12,INF247L01536
963,MAANALU,EQ,153.0,153.0,139.2,139.85,140.15,149.1,68663,9868325.5,08-MAY-2018,1431,INE215I01019
964,MACPOWER,SM,273.5,280.9,272.85,275.0,275.0,273.05,89000,24511800.0,08-MAY-2018,40,INE155Z01011
965,MADHAV,EQ,52.65,52.85,52.0,52.5,52.3,52.55,3250,170496.75,08-MAY-2018,67,INE925C01016
966,MADHUCON,EQ,20.5,21.0,19.15,20.05,19.85,20.5,92766,1870536.6,08-MAY-2018,601,INE378D01032
967,MADRASFERT,EQ,33.9,33.9,32.55,32.65,32.6,33.3,72465,2390736.5,08-MAY-2018,584,INE414A01015
968,MAGADSUGAR,EQ,93.0,94.55,91.2,92.0,91.3,93.1,2050,188441.9,08-MAY-2018,95,INE347W01011
969,MAGMA,EQ,176.75,177.75,174.5,175.6,175.45,177.0,205266,36185251.45,08-MAY-2018,8573,INE511C01022
